time,pos1,pos2,vel1,vel2,tau1,tau2
2.999999999999999889e-01,2.509402754460238416e+00,4.797361666048294282e-02,3.354304414815989954e+00,1.506821133173198213e+00,0.000000000000000000e+00,-1.000000000000000000e+01
3.049999999999999933e-01,2.533289810859706392e+00,4.292549368838072255e-02,6.186107875794967015e+00,-3.501186352589843231e+00,0.000000000000000000e+00,-1.000000000000000000e+01
3.099999999999999978e-01,2.571264321110780848e+00,1.296211363887378454e-02,9.003994507942151060e+00,-8.484202720713721391e+00,0.000000000000000000e+00,-1.000000000000000000e+01
3.150000000000000022e-01,2.623327645030410604e+00,-4.190140539910025552e-02,1.181951662185229424e+01,-1.345589336235475386e+01,0.000000000000000000e+00,-1.000000000000000000e+01
3.200000000000000067e-01,2.686327401717628849e+00,-1.161630547061607288e-01,1.337476399014496309e+01,-1.623491802303838583e+01,0.000000000000000000e+00,-5.674591064453125000e+00
3.250000000000000111e-01,2.759465232776083798e+00,-2.083124027013010249e-01,1.586268452989559385e+01,-2.000000000000000000e+01,0.000000000000000000e+00,-9.185262918472290039e+00
3.300000000000000155e-01,2.844172621357701658e+00,-3.176386061494635982e-01,1.799206899387827363e+01,-2.000000000000000000e+01,0.000000000000000000e+00,-8.377811312675476074e+00
3.350000000000000200e-01,2.927171526614079866e+00,-4.055499860706959225e-01,1.522852199511478233e+01,-1.520363344932649596e+01,0.000000000000000000e+00,9.691731929779052734e+00
3.400000000000000244e-01,2.996478595107258336e+00,-4.697615254238360905e-01,1.251263310789126848e+01,-1.051909977216663350e+01,0.000000000000000000e+00,9.969700574874877930e+00
3.450000000000000289e-01,3.052429219499602553e+00,-5.110420809921780716e-01,9.878936631128539148e+00,-6.020590822607195136e+00,0.000000000000000000e+00,9.999392032623291016e+00
3.500000000000000333e-01,3.095340534575868219e+00,-5.301731467683135079e-01,7.288838174507715095e+00,-1.645298576285908254e+00,0.000000000000000000e+00,1.000000000000000000e+01
3.549999999999999822e-01,3.125430039620674005e+00,-5.277605774649396508e-01,4.754527390677372622e+00,2.590985351781922574e+00,0.000000000000000000e+00,1.000000000000000000e+01
3.599999999999999867e-01,3.142804579288279054e+00,-5.041785691447504547e-01,2.183650815182759608e+00,6.857428020448312900e+00,0.000000000000000000e+00,1.000000000000000000e+01
3.649999999999999911e-01,3.147118124860299293e+00,-4.589624146343789235e-01,-4.710168641260650269e-01,1.125112998166924072e+01,0.000000000000000000e+00,1.000000000000000000e+01
3.699999999999999956e-01,3.137944705962358860e+00,-3.913935451017902523e-01,-3.219705851363593219e+00,1.581450229133469954e+01,0.000000000000000000e+00,1.000000000000000000e+01
3.750000000000000000e-01,3.114705247374297326e+00,-3.004165322311838082e-01,-6.096120237594574220e+00,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
3.800000000000000044e-01,3.076880826662034885e+00,-1.880603011354970988e-01,-9.043546174470678878e+00,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
3.850000000000000089e-01,3.027208133857995698e+00,-8.049351024847695157e-02,-1.082253593776463241e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.205991506576538086e+00
3.900000000000000133e-01,2.980372406422385545e+00,6.888319799426945167e-03,-7.903856362599130492e+00,1.493885030106332223e+01,0.000000000000000000e+00,-9.999999403953552246e+00
3.950000000000000178e-01,2.948188306709242923e+00,6.886559088922172833e-02,-4.971710446833831121e+00,9.855961179280244622e+00,0.000000000000000000e+00,-9.999993443489074707e+00
4.000000000000000222e-01,2.930617093918006066e+00,1.055203592023072900e-01,-2.060992489538396644e+00,4.813784972532801909e+00,0.000000000000000000e+00,-9.999982118606567383e+00
4.050000000000000266e-01,2.927542965299541056e+00,1.170681321774793560e-01,8.103097271079922059e-01,-1.600749430671717377e-01,0.000000000000000000e+00,-9.999902844429016113e+00
4.100000000000000311e-01,2.938521327101836889e+00,1.042434022245939396e-01,3.582026041506317426e+00,-4.971874181038478113e+00,0.000000000000000000e+00,-9.994252324104309082e+00
4.150000000000000355e-01,2.963334847798645644e+00,6.739360789659176731e-02,6.346627959478404080e+00,-9.774114754984424280e+00,0.000000000000000000e+00,-9.918383955955505371e+00
4.199999999999999845e-01,2.994521207278371122e+00,1.937689629510863654e-02,6.128107334134553774e+00,-9.432676651619598118e+00,0.000000000000000000e+00,5.550515651702880859e-01
4.249999999999999889e-01,3.022631718071218998e+00,-2.350912486491729680e-02,5.116704942564464176e+00,-7.722648722188075965e+00,0.000000000000000000e+00,3.329963684082031250e+00
4.299999999999999933e-01,3.041180430503368726e+00,-5.007523556038773194e-02,2.304596494857818811e+00,-2.907042409755450585e+00,0.000000000000000000e+00,9.643678665161132812e+00
4.349999999999999978e-01,3.048375595165403684e+00,-5.723303007209068483e-02,5.869883023135498146e-01,2.062353431024899209e-02,0.000000000000000000e+00,5.890169143676757812e+00
4.400000000000000022e-01,3.049515905533238591e+00,-5.412008965716896824e-02,-1.237587217197471112e-01,1.214141271503534014e+00,0.000000000000000000e+00,2.631884813308715820e+00
4.450000000000000067e-01,3.048123809814267560e+00,-4.677297114019296487e-02,-4.331929052594409857e-01,1.725083321830223948e+00,0.000000000000000000e+00,1.324964761734008789e+00
4.500000000000000111e-01,3.045731657353089705e+00,-3.781214065595062124e-02,-5.239170794708352119e-01,1.859838354070502353e+00,0.000000000000000000e+00,5.564892292022705078e-01
4.550000000000000155e-01,3.043310542408052211e+00,-2.890753668593948333e-02,-4.447912789266914579e-01,1.702607673668447008e+00,0.000000000000000000e+00,-4.214286804199218750e-02
4.600000000000000200e-01,3.041551577809610496e+00,-2.124653652700025930e-02,-2.590594393625086922e-01,1.362382606118324402e+00,0.000000000000000000e+00,-4.198598861694335938e-01
4.650000000000000244e-01,3.040792437803549575e+00,-1.540758754314808243e-02,-4.511029084854784044e-02,9.741088485452693568e-01,0.000000000000000000e+00,-5.250585079193115234e-01
4.700000000000000289e-01,3.041040672136280598e+00,-1.141742392663847028e-02,1.393554741126230290e-01,6.291634121983782357e-01,0.000000000000000000e+00,-5.130517482757568359e-01
4.750000000000000333e-01,3.042198317699092325e+00,-9.136996416772014129e-03,3.234499197338644993e-01,2.835209955001380955e-01,0.000000000000000000e+00,-5.361390113830566406e-01
4.799999999999999822e-01,3.044136666512144096e+00,-8.342494282158163799e-03,4.507406430752202153e-01,3.634527233538373259e-02,0.000000000000000000e+00,-3.467434644699096680e-01
4.849999999999999867e-01,3.046425356110663341e+00,-8.289172648892062512e-03,4.532884440489534095e-01,4.807569968469156685e-03,0.000000000000000000e+00,-8.811354637145996094e-03
4.899999999999999911e-01,3.048699582463904267e+00,-8.345403232154602335e-03,4.480605532377649469e-01,-1.283432749949249552e-02,0.000000000000000000e+00,-3.921031951904296875e-02
4.949999999999999956e-01,3.050910001275359384e+00,-8.423703473262378338e-03,4.352876143314272639e-01,-1.699593684106804475e-02,0.000000000000000000e+00,-8.900463581085205078e-02
5.000000000000000000e-01,3.053093072374279515e+00,-8.584659323184418156e-03,4.365441642922741616e-01,-4.490450733487129364e-02,0.000000000000000000e+00,-1.614701747894287109e-01
5.050000000000000044e-01,3.055299328004770221e+00,-8.913231497242435353e-03,4.454987087291738534e-01,-8.566292993193250216e-02,0.000000000000000000e+00,-2.040344476699829102e-01
5.100000000000000089e-01,3.057513114942898902e+00,-9.380344575418142483e-03,4.399423149093273921e-01,-1.009888361731390016e-01,0.000000000000000000e+00,-1.579666137695312500e-01
5.150000000000000133e-01,3.059690069924156042e+00,-9.907498988143359497e-03,4.308117048094806667e-01,-1.097611683542049354e-01,0.000000000000000000e+00,-1.465159654617309570e-01
5.200000000000000178e-01,3.061820174612042145e+00,-1.047551115354661277e-02,4.212127338960544587e-01,-1.173528157123536753e-01,0.000000000000000000e+00,-1.453506946563720703e-01
5.250000000000000222e-01,3.063903552786463091e+00,-1.108277047069439192e-02,4.121241815123309893e-01,-1.254680427516705332e-01,0.000000000000000000e+00,-1.474636793136596680e-01
5.300000000000000266e-01,3.065946455149711980e+00,-1.173831452800921937e-02,4.050192357609835869e-01,-1.366640192642095131e-01,0.000000000000000000e+00,-1.547235250473022461e-01
5.350000000000000311e-01,3.067959450419901479e+00,-1.245871140526944032e-02,4.001604107734454963e-01,-1.514104258945287995e-01,0.000000000000000000e+00,-1.629424095153808594e-01
5.400000000000000355e-01,3.069950996879692973e+00,-1.325697496003375164e-02,3.964449703178116180e-01,-1.678226296429786712e-01,0.000000000000000000e+00,-1.672631502151489258e-01
5.450000000000000400e-01,3.071925750017443502e+00,-1.413964657930399937e-02,3.934495255700176664e-01,-1.851876279660517877e-01,0.000000000000000000e+00,-1.699829101562500000e-01
5.500000000000000444e-01,3.073886877665514827e+00,-1.511078782298014289e-02,3.910010352139269285e-01,-2.032241303543922128e-01,0.000000000000000000e+00,-1.719659566879272461e-01
5.550000000000000488e-01,3.075836918601539960e+00,-1.617346092587812478e-02,3.890206470552679541e-01,-2.218132283208715527e-01,0.000000000000000000e+00,-1.735478639602661133e-01
5.600000000000000533e-01,3.077778117358299426e+00,-1.733030592019346727e-02,3.874695290004923076e-01,-2.409049736523068419e-01,0.000000000000000000e+00,-1.748776435852050781e-01
5.650000000000000577e-01,3.079712566394714024e+00,-1.858378554339079614e-02,3.863257635768507781e-01,-2.604785359379725995e-01,0.000000000000000000e+00,-1.760226488113403320e-01
5.700000000000000622e-01,3.081642266682572018e+00,-1.993628948028813852e-02,3.855747552318220528e-01,-2.805256672252597339e-01,0.000000000000000000e+00,-1.770150661468505859e-01
5.750000000000000666e-01,3.083569154365668474e+00,-2.139018013843152488e-02,3.852052367652492038e-01,-3.010438242908022866e-01,0.000000000000000000e+00,-1.778715848922729492e-01
5.799999999999999600e-01,3.085495121318833078e+00,-2.294782795438443657e-02,3.852108190273220711e-01,-3.220388523156929583e-01,0.000000000000000000e+00,-1.786130666732788086e-01
5.849999999999999645e-01,3.087321321568325505e+00,-2.443793738352972866e-02,3.453408106870269334e-01,-2.741011814833027582e-01,0.000000000000000000e+00,-3.835260868072509766e-02
5.899999999999999689e-01,3.089006860554504019e+00,-2.578917957680371131e-02,3.289175457505932876e-01,-2.664446521235127596e-01,0.000000000000000000e+00,-1.190042495727539062e-01
5.949999999999999734e-01,3.090554841071872172e+00,-2.700614943360246656e-02,2.903511488378488492e-01,-2.204501300555470333e-01,0.000000000000000000e+00,-4.046559333801269531e-02
5.999999999999999778e-01,3.091985256907051394e+00,-2.812259457516752548e-02,2.818403748654108032e-01,-2.261496629751406084e-01,0.000000000000000000e+00,-1.443213224411010742e-01
6.049999999999999822e-01,3.093296579395815371e+00,-2.913520450868567480e-02,2.427795496981542400e-01,-1.790280599862266175e-01,0.000000000000000000e+00,-3.647506237030029297e-02
6.099999999999999867e-01,3.094510366209789254e+00,-3.008049822285663311e-02,2.427333654270751873e-01,-1.990683695279374943e-01,0.000000000000000000e+00,-1.717424392700195312e-01
6.149999999999999911e-01,3.095619787740805151e+00,-3.094611737446850697e-02,2.011540701022710431e-01,-1.473627827966881298e-01,0.000000000000000000e+00,-2.556025981903076172e-02
6.199999999999999956e-01,3.096625016718670409e+00,-3.173176730924343047e-02,2.009216389515673384e-01,-1.668549942689809829e-01,0.000000000000000000e+00,-1.688003540039062500e-01
6.250000000000000000e-01,3.097475996034430246e+00,-3.235059196330958287e-02,1.398086110502304857e-01,-8.123219173778388480e-02,0.000000000000000000e+00,4.649996757507324219e-02
6.300000000000000044e-01,3.098101357081872731e+00,-3.267878811960667207e-02,1.107021699616250465e-01,-5.065377329188040789e-02,0.000000000000000000e+00,-5.771040916442871094e-02
6.350000000000000089e-01,3.098512148902552887e+00,-3.273455151568605004e-02,6.604111880372499910e-02,7.011277988668358774e-03,0.000000000000000000e+00,9.396910667419433594e-02
6.400000000000000133e-01,3.098779249321852003e+00,-3.263854678930577791e-02,4.388688299553232530e-02,2.613024982980588148e-02,0.000000000000000000e+00,1.474761962890625000e-01
6.450000000000000178e-01,3.098843836417127573e+00,-3.228543396896288442e-02,-1.279331296317665068e-02,1.073940067468312776e-01,0.000000000000000000e+00,3.313982486724853516e-01
6.500000000000000222e-01,3.098736943368419094e+00,-3.170106758815993686e-02,-2.934920338799059183e-02,1.254937677293897769e-01,0.000000000000000000e+00,2.616965770721435547e-01
