time,pos1,pos2,vel1,vel2,tau1,tau2
1.350000000000000366e-01,1.442929109095553608e+00,-2.282186097297195904e+00,1.269342320639801613e+01,-1.607870295879029854e+01,0.000000000000000000e+00,-1.378954562806433026e+00
1.400000000000000411e-01,1.507096540254068584e+00,-2.362206512067884567e+00,1.297962473316800214e+01,-1.593300385290342547e+01,0.000000000000000000e+00,-1.279319835712490860e+00
1.450000000000000455e-01,1.572752459135627223e+00,-2.441508618221749138e+00,1.328823092401323969e+01,-1.579133085891395183e+01,0.000000000000000000e+00,-1.159435447628981208e+00
1.500000000000000500e-01,1.639992142256760044e+00,-2.520103949655675191e+00,1.361222038319733585e+01,-1.565023349071310932e+01,0.000000000000000000e+00,-1.021677735369689977e+00
1.550000000000000544e-01,1.708871375499714684e+00,-2.597987707260887902e+00,1.394279241199898323e+01,-1.550662476977227300e+01,0.000000000000000000e+00,-8.658134936559910289e-01
1.600000000000000588e-01,1.779396513680148839e+00,-2.675139385412335091e+00,1.426898748354877711e+01,-1.535731109667562322e+01,0.000000000000000000e+00,-7.025767411177534782e-01
1.650000000000000633e-01,1.851517651090811567e+00,-2.751526677868391335e+00,1.457933652888367959e+01,-1.520076672565613585e+01,0.000000000000000000e+00,-5.205055089549510683e-01
1.700000000000000677e-01,1.925120416423252490e+00,-2.827104835510576120e+00,1.485963989712950628e+01,-1.503355583181054556e+01,0.000000000000000000e+00,-3.195549767640687433e-01
1.750000000000000722e-01,2.000018051630695126e+00,-2.901811965815927152e+00,1.509532516538326341e+01,-1.485226505568980215e+01,0.000000000000000000e+00,-1.004153762002134298e-01
1.800000000000000766e-01,2.075952774257226352e+00,-2.975569531392342704e+00,1.527277002851110055e+01,-1.465365604874835270e+01,0.000000000000000000e+00,1.190812005383205252e-01
1.850000000000000810e-01,2.152609439179181905e+00,-3.048290067833189898e+00,1.538286175213897877e+01,-1.443739643970967279e+01,0.000000000000000000e+00,3.553657569538801186e-01
1.900000000000000855e-01,2.229629809964154052e+00,-3.119878093022427024e+00,1.541761144150786222e+01,-1.420061073551223174e+01,0.000000000000000000e+00,5.601607436055396905e-01
1.950000000000000899e-01,2.306641035241755677e+00,-3.190242940388732240e+00,1.537921329221629385e+01,-1.394808928674895476e+01,0.000000000000000000e+00,7.845671734862071922e-01
2.000000000000000944e-01,2.383274185826730118e+00,-3.259297603650638475e+00,1.526698211148550755e+01,-1.367649395595881501e+01,0.000000000000000000e+00,1.002206796642363784e+00
2.050000000000000988e-01,2.459173989327739118e+00,-3.326948535880285718e+00,1.508693808548002302e+01,-1.338652978690511297e+01,0.000000000000000000e+00,1.211775064234993815e+00
2.100000000000001033e-01,2.534021881377449326e+00,-3.393105728828672785e+00,1.484756706949942995e+01,-1.307889493125230018e+01,0.000000000000000000e+00,1.439595902218077095e+00
2.150000000000001077e-01,2.607536729045409007e+00,-3.457671495367516723e+00,1.455519754264048338e+01,-1.274980582553225972e+01,0.000000000000000000e+00,1.659583081351032385e+00
2.200000000000001121e-01,2.679478620516008380e+00,-3.520538761239620840e+00,1.421982531928284033e+01,-1.239929205264312451e+01,0.000000000000000000e+00,1.889906828406364259e+00
2.250000000000001166e-01,2.749650716905597925e+00,-3.581592479991698053e+00,1.384858850630056182e+01,-1.202413297168124195e+01,0.000000000000000000e+00,2.118459686834964106e+00
2.300000000000001210e-01,2.817893360946078563e+00,-3.640705534142644861e+00,1.344914804167691535e+01,-1.162273070675660058e+01,0.000000000000000000e+00,2.332952537100691170e+00
2.350000000000001255e-01,2.884085742237682659e+00,-3.697747200888233721e+00,1.302934508965511462e+01,-1.119525707616926624e+01,0.000000000000000000e+00,2.533347183964713256e+00
2.400000000000001299e-01,2.948142539439821075e+00,-3.752587329973280372e+00,1.259553945698944588e+01,-1.074178355096618986e+01,0.000000000000000000e+00,2.709262699983518985e+00
2.450000000000001343e-01,3.010009907971239684e+00,-3.805100391928887493e+00,1.215397965897144772e+01,-1.026410670726428975e+01,0.000000000000000000e+00,2.885402507691928520e+00
2.500000000000001110e-01,3.069654416849999290e+00,-3.855159774666768513e+00,1.170664037327526152e+01,-9.759998001755864294e+00,0.000000000000000000e+00,3.028482324635158651e+00
2.550000000000001155e-01,3.127060471945245279e+00,-3.902642034242149727e+00,1.125869452470184839e+01,-9.232983216269042614e+00,0.000000000000000000e+00,3.130753631083252220e+00
2.600000000000001199e-01,3.182238634498283592e+00,-3.947445593800277486e+00,1.081546695581583961e+01,-8.688299660769546406e+00,0.000000000000000000e+00,3.259187212482055784e+00
2.650000000000001243e-01,3.235203924521586227e+00,-3.989467215234241859e+00,1.037349838883702091e+01,-8.120014682522214144e+00,0.000000000000000000e+00,3.357471724326368534e+00
2.700000000000001288e-01,3.285971043733308949e+00,-4.028598865707703425e+00,9.936106883554423064e+00,-7.532182580311122422e+00,0.000000000000000000e+00,3.426870652172699927e+00
2.750000000000001332e-01,3.334570349532133271e+00,-4.064753489877571901e+00,9.506261453620446389e+00,-6.929143571132184931e+00,0.000000000000000000e+00,3.518748580689517791e+00
2.800000000000001377e-01,3.381030955285637241e+00,-4.097844041309540053e+00,9.080542990678921456e+00,-6.306533925078788627e+00,0.000000000000000000e+00,3.582217888306061138e+00
2.850000000000001421e-01,3.425381097366144267e+00,-4.127785094385730602e+00,8.661999604856175594e+00,-5.669396663892080745e+00,0.000000000000000000e+00,3.663260926276935781e+00
2.900000000000001465e-01,3.467650135987148552e+00,-4.154496809682125757e+00,8.248067009278173600e+00,-5.014898230191792372e+00,0.000000000000000000e+00,3.695165575611152331e+00
2.950000000000001510e-01,3.507876053762779112e+00,-4.177916412871712559e+00,7.844724902391076782e+00,-4.352729144217029500e+00,0.000000000000000000e+00,3.780654903145816981e+00
3.000000000000001554e-01,3.546094791377965461e+00,-4.197983565319113097e+00,7.445235820055374099e+00,-3.674122483415489526e+00,0.000000000000000000e+00,3.872660980173710410e+00
3.050000000000001599e-01,3.582324301845161152e+00,-4.214616125743652297e+00,7.049116200171690494e+00,-2.979148277585723648e+00,0.000000000000000000e+00,3.975991184473032902e+00
3.100000000000001643e-01,3.616579225208903292e+00,-4.227730825326609043e+00,6.655526891252375954e+00,-2.267282790004515380e+00,0.000000000000000000e+00,4.042984915532276347e+00
3.150000000000001688e-01,3.648885670249428781e+00,-4.237264861291811791e+00,6.269864926741751887e+00,-1.547242764186373520e+00,0.000000000000000000e+00,4.161131964371691971e+00
3.200000000000001732e-01,3.679269378621628395e+00,-4.243158794798805644e+00,5.886638731775014399e+00,-8.116382063307004957e-01,0.000000000000000000e+00,4.330641167126400681e+00
3.250000000000001776e-01,3.707729680760942781e+00,-4.245316870445214441e+00,5.501091785106339671e+00,-5.380915659643215054e-02,0.000000000000000000e+00,4.597271464467262980e+00
3.300000000000001821e-01,3.734290222561268635e+00,-4.243680882178491487e+00,5.132368987472735178e+00,6.974513246811329115e-01,0.000000000000000000e+00,4.805475226299964042e+00
3.350000000000001865e-01,3.759023287429216431e+00,-4.238268895369288636e+00,4.764618867758348308e+00,1.464695785031201680e+00,0.000000000000000000e+00,5.016457886679985378e+00
3.400000000000001910e-01,3.781908451568754437e+00,-4.228963623506150071e+00,4.393535786231264950e+00,2.254288611799843967e+00,0.000000000000000000e+00,5.501919680084816022e+00
3.450000000000001954e-01,3.802847873809646728e+00,-4.215532838577201069e+00,3.986871559618895500e+00,3.114302666890290006e+00,0.000000000000000000e+00,5.225758491375199988e+00
3.500000000000001998e-01,3.821911146870181852e+00,-4.197988438699981728e+00,3.643046129920665344e+00,3.899392155777142044e+00,0.000000000000000000e+00,5.014600448409452405e+00
3.550000000000002043e-01,3.839391166957220491e+00,-4.176678748601910129e+00,3.353528372789180256e+00,4.620182987087151361e+00,0.000000000000000000e+00,4.778985302055895446e+00
3.600000000000002087e-01,3.855565966487108032e+00,-4.151938708356968100e+00,3.120829750177207984e+00,5.271427282824561189e+00,0.000000000000000000e+00,4.499317582882444100e+00
3.650000000000002132e-01,3.870730844125887415e+00,-4.124136178820048571e+00,2.949322235393953218e+00,5.845211439094711636e+00,0.000000000000000000e+00,4.131229754707612223e+00
3.700000000000002176e-01,3.885214970096027454e+00,-4.093696090610259297e+00,2.848141113321972728e+00,6.326639467046994092e+00,0.000000000000000000e+00,3.792606521574219958e+00
3.750000000000002220e-01,3.899354337884653798e+00,-4.061062260905790922e+00,2.810973709136588727e+00,6.722971475878747327e+00,0.000000000000000000e+00,3.281885311547326989e+00
3.800000000000002265e-01,3.913514799166139202e+00,-4.026730375405001006e+00,2.855916543497514226e+00,7.006294526807995027e+00,0.000000000000000000e+00,2.966274727955952262e+00
3.850000000000002309e-01,3.928036208664547058e+00,-3.991171275575680966e+00,2.954771220096537476e+00,7.214227934820200971e+00,0.000000000000000000e+00,2.742241922282426803e+00
3.900000000000002354e-01,3.943150753454930602e+00,-3.954715208775656521e+00,3.092592691860323928e+00,7.365434960817787591e+00,0.000000000000000000e+00,2.768247010858290391e+00
3.950000000000002398e-01,3.958967328346182146e+00,-3.917532112791893173e+00,3.235132269661088245e+00,7.505292536893395372e+00,0.000000000000000000e+00,2.783421373572291913e+00
4.000000000000002442e-01,3.975505752930589498e+00,-3.879679464529313559e+00,3.380805727029584595e+00,7.633551193712336591e+00,0.000000000000000000e+00,2.781173868903646262e+00
4.050000000000002487e-01,3.992778812435520130e+00,-3.841218055839329626e+00,3.528378607998252203e+00,7.749136710682400953e+00,0.000000000000000000e+00,2.755676784150552283e+00
4.100000000000002531e-01,4.010793726691660233e+00,-3.802215712545649051e+00,3.676858285660642434e+00,7.850309584748923264e+00,0.000000000000000000e+00,2.711107586119597013e+00
4.150000000000002576e-01,4.029550294064553562e+00,-3.762746427580644593e+00,3.824279064573770537e+00,7.936335919757401491e+00,0.000000000000000000e+00,1.062651117830509806e+00
4.200000000000002620e-01,4.049528753879213738e+00,-3.723542253061100649e+00,4.163813312463170213e+00,7.745273601594194091e+00,0.000000000000000000e+00,1.964881358177944737e+00
4.250000000000002665e-01,4.070871672168900446e+00,-3.684921983158258030e+00,4.369951875844542144e+00,7.702822537513497991e+00,0.000000000000000000e+00,2.297852019948332991e+00
4.300000000000002709e-01,4.093086780988911322e+00,-3.646376125321382666e+00,4.512168415209033334e+00,7.715810854891621773e+00,0.000000000000000000e+00,2.317492819105845925e+00
4.350000000000002753e-01,4.115944294375573520e+00,-3.607750896372377447e+00,4.626193213981877328e+00,7.734984193246241091e+00,0.000000000000000000e+00,2.207120001179040614e+00
4.400000000000002798e-01,4.139333421472016994e+00,-3.569061843310985971e+00,4.724052350420719470e+00,7.741777955228139163e+00,0.000000000000000000e+00,2.027901610325530957e+00
4.450000000000002842e-01,4.163184103683395421e+00,-3.530391981839632098e+00,4.810089251470092364e+00,7.727730521539905695e+00,0.000000000000000000e+00,1.812502607477605832e+00
4.500000000000002887e-01,4.187438541658968560e+00,-3.491853640093605549e+00,4.884919161699086132e+00,7.689552421619761269e+00,0.000000000000000000e+00,-9.938853298890011345e-01
4.550000000000002931e-01,4.212858742947237722e+00,-3.454599089680400414e+00,5.275052382265334572e+00,7.214876423470259148e+00,0.000000000000000000e+00,6.982211779027218679e-01
4.600000000000002975e-01,4.239566886278119284e+00,-3.419003168093571965e+00,5.400834797950275323e+00,7.025896194638192149e+00,0.000000000000000000e+00,9.298779264194053651e-01
4.650000000000003020e-01,4.266719041480363295e+00,-3.384223334884683076e+00,5.452773643088350219e+00,6.888501003587573557e+00,0.000000000000000000e+00,8.185671579015411092e-01
4.700000000000003064e-01,4.294058504785783548e+00,-3.350137486727935432e+00,5.475856013401230626e+00,6.748359995454666027e+00,0.000000000000000000e+00,6.767782722687278874e-01
4.750000000000003109e-01,4.321453078700931094e+00,-3.316770809003138254e+00,5.475037646124516932e+00,6.600833297548273748e+00,0.000000000000000000e+00,5.244747336163296803e-01
4.800000000000003153e-01,4.348790707544005762e+00,-3.284164606658947161e+00,5.453418673332800282e+00,6.444113070618901595e+00,0.000000000000000000e+00,4.022538166253457614e-01
4.850000000000003197e-01,4.375963362162463177e+00,-3.252353979071001433e+00,5.409499650368654322e+00,6.282493837764050681e+00,0.000000000000000000e+00,3.326864244680197147e-01
4.900000000000003242e-01,4.402849628737310006e+00,-3.221344390574389926e+00,5.339399680540370952e+00,6.123545973095694706e+00,0.000000000000000000e+00,3.268909178019692718e-01
4.950000000000003286e-01,4.429306096598020659e+00,-3.191099652775683193e+00,5.238167500023157785e+00,5.976373677762547132e+00,0.000000000000000000e+00,-3.848067425578418188e+00
5.000000000000003331e-01,4.456550872636467986e+00,-3.163213095275823949e+00,5.655405641520258264e+00,5.180031964184303561e+00,0.000000000000000000e+00,-2.960943954065897721e-01
